Year,region,crop,price_fcfa_kg,price_usd_t,price_usd_kg,usd_from_fcfa_kg,usd_kg,cpi,deflator,usd_kg_real
2015,Maritime,maïs,190.6,317.6,0.31760000000000005,0.31766666666666665,0.31760000000000005,111.179750599295,1.7387064796489142,0.1826645288997433
2016,Maritime,maïs,209.3,348.8,0.3488,0.34883333333333333,0.3488,112.608909002895,1.7610566554982903,0.19806290667082893
2017,Maritime,maïs,202.8,338.0,0.338,0.338,0.338,111.503213533868,1.743765018611601,0.19383345599461457
2018,Maritime,maïs,208.6,347.6,0.3476,0.3476666666666667,0.3476,112.537690648103,1.7599428931964383,0.19750640849981388
2019,Maritime,maïs,232.4,387.4,0.38739999999999997,0.38733333333333336,0.38739999999999997,113.296929295441,1.7718163966771596,0.21864567949959413
2020,Maritime,maïs,227.2,378.6,0.37860000000000005,0.37866666666666665,0.37860000000000005,115.222166604613,1.8019246004307703,0.2101086804128716
2021,Maritime,maïs,213.5,355.9,0.3559,0.35583333333333333,0.3559,120.045614301505,1.8773570395181713,0.18957502089817857
2022,Maritime,maïs,248.5,414.2,0.4142,0.4141666666666667,0.4142,129.610336993973,2.0269368436803203,0.204347758190598
2023,Maritime,maïs,243.9,406.5,0.4065,0.40650000000000003,0.4065,136.725018664212,2.138201197611713,0.1901130728268437
2024,Maritime,maïs,260.9,434.8,0.4348,0.4348333333333333,0.4348,140.63893740649,2.199409788576669,0.19768939933716376
2025,Maritime,maïs,258.0,430.0,0.43,0.43,0.43,,1.0,0.43
2026,Maritime,maïs,253.5,422.5,0.4225,0.4225,0.4225,,1.0,0.4225
2027,Maritime,maïs,263.0,438.3,0.4383,0.43833333333333335,0.4383,,1.0,0.4383
2028,Maritime,maïs,279.1,465.2,0.4652,0.46516666666666673,0.4652,,1.0,0.4652
2029,Maritime,maïs,298.7,497.8,0.4978,0.4978333333333333,0.4978,,1.0,0.4978
2030,Maritime,maïs,267.1,445.1,0.4451,0.4451666666666667,0.4451,,1.0,0.4451
2015,Maritime,riz_paddy,265.7,442.9,0.44289999999999996,0.4428333333333333,0.44289999999999996,111.179750599295,1.7387064796489142,0.2547295965040815
2016,Maritime,riz_paddy,298.1,496.8,0.4968,0.49683333333333335,0.4968,112.608909002895,1.7610566554982903,0.2821033601894146
2017,Maritime,riz_paddy,293.9,489.8,0.4898,0.4898333333333333,0.4898,111.503213533868,1.743765018611601,0.2808864696632018
2018,Maritime,riz_paddy,308.3,513.8,0.5137999999999999,0.5138333333333334,0.5137999999999999,112.537690648103,1.7599428931964383,0.29194129081474207
2019,Maritime,riz_paddy,326.6,544.3,0.5443,0.5443333333333333,0.5443,113.296929295441,1.7718163966771596,0.3071988728746234
2020,Maritime,riz_paddy,293.5,489.2,0.48919999999999997,0.4891666666666667,0.48919999999999997,115.222166604613,1.8019246004307703,0.2714874972476935
2021,Maritime,riz_paddy,334.7,557.9,0.5579,0.5578333333333333,0.5579,120.045614301505,1.8773570395181713,0.29717309401262665
2022,Maritime,riz_paddy,336.0,559.9,0.5599,0.56,0.5599,129.610336993973,2.0269368436803203,0.2762296229138479
2023,Maritime,riz_paddy,363.8,606.4,0.6063999999999999,0.6063333333333334,0.6063999999999999,136.725018664212,2.138201197611713,0.28360287173972454
2024,Maritime,riz_paddy,337.8,562.9,0.5629,0.5630000000000001,0.5629,140.63893740649,2.199409788576669,0.25593229734795186
2025,Maritime,riz_paddy,339.8,566.3,0.5662999999999999,0.5663333333333334,0.5662999999999999,,1.0,0.5662999999999999
2026,Maritime,riz_paddy,350.7,584.5,0.5845,0.5845,0.5845,,1.0,0.5845
2027,Maritime,riz_paddy,357.0,595.1,0.5951000000000001,0.595,0.5951000000000001,,1.0,0.5951000000000001
2028,Maritime,riz_paddy,361.6,602.6,0.6026,0.6026666666666667,0.6026,,1.0,0.6026
