Year,indicator,indicator_name,value
1966,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.0277777777777778
1967,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.0555555555555556
1968,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.111111111111111
1969,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.141111111111111
1970,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.242222222222222
1971,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.275
1972,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.310555555555556
1973,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.356666666666667
1974,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),1.19
1975,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),1.27277777777778
1976,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),1.57611111111111
1977,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.508333333333333
1978,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.947894736842105
1979,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),1.56102564102564
1980,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),1.36051282051282
1981,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),1.13538461538462
1982,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),1.42974358974359
1983,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),1.56974358974359
1984,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),3.45
1985,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),4.9
1986,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),5.55
1987,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),5.38514851485149
1988,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),5.9419512195122
1989,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),6.09756097560976
1990,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),5.55555555555556
1991,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),5.61913875598086
1992,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),5.79620853080569
1993,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),4.63145539906103
1994,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),5.19255813953488
1995,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),7.57281105990783
1996,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),8.04200913242009
1997,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),7.60633484162896
1998,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),7.71300448430493
1999,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),7.51111111111111
2000,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),8.73920704845815
2001,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),8.38427947598253
2002,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),5.75584415584416
2003,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),7.85836909871245
2004,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),3.67106382978723
2005,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.288607594936709
2006,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.0138075313807531
2007,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.0
2008,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),0.000411522633744856
2009,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),2.90897959183673
2010,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),9.83780487804878
2011,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),10.2040650406504
2012,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),5.02301886792453
2013,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),11.7249056603774
2014,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),1.84603773584906
2015,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),3.32679245283019
2016,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),13.6781132075472
2017,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),5.77924528301887
2018,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),15.3569811320755
2019,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),2.67622641509434
2020,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),2.67622641509434
2021,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),2.06490566037736
2022,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),13.2966037735849
2023,AG.CON.FERT.ZS,Fertilizer consumption (kg/ha),17.3615094339623
