Year,indicator,indicator_name,value
1961,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1962,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1963,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1964,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1965,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1966,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1967,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1968,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1969,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1970,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1971,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1972,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1973,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1974,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1975,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1976,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1977,AG.LND.ARBL.ZS,Arable land (% of land area),33.0943188086045
1978,AG.LND.ARBL.ZS,Arable land (% of land area),34.9328920757492
1979,AG.LND.ARBL.ZS,Arable land (% of land area),35.8521787093216
1980,AG.LND.ARBL.ZS,Arable land (% of land area),35.8521787093216
1981,AG.LND.ARBL.ZS,Arable land (% of land area),35.8521787093216
1982,AG.LND.ARBL.ZS,Arable land (% of land area),35.8521787093216
1983,AG.LND.ARBL.ZS,Arable land (% of land area),35.8521787093216
1984,AG.LND.ARBL.ZS,Arable land (% of land area),36.7714653428939
1985,AG.LND.ARBL.ZS,Arable land (% of land area),36.7714653428939
1986,AG.LND.ARBL.ZS,Arable land (% of land area),36.7714653428939
1987,AG.LND.ARBL.ZS,Arable land (% of land area),37.1391799963229
1988,AG.LND.ARBL.ZS,Arable land (% of land area),37.6907519764663
1989,AG.LND.ARBL.ZS,Arable land (% of land area),37.6907519764663
1990,AG.LND.ARBL.ZS,Arable land (% of land area),38.0584666298952
1991,AG.LND.ARBL.ZS,Arable land (% of land area),38.4261812833241
1992,AG.LND.ARBL.ZS,Arable land (% of land area),38.7938959367531
1993,AG.LND.ARBL.ZS,Arable land (% of land area),39.161610590182
1994,AG.LND.ARBL.ZS,Arable land (% of land area),39.529325243611
1995,AG.LND.ARBL.ZS,Arable land (% of land area),39.8970398970399
1996,AG.LND.ARBL.ZS,Arable land (% of land area),40.2647545504688
1997,AG.LND.ARBL.ZS,Arable land (% of land area),40.6324692038978
1998,AG.LND.ARBL.ZS,Arable land (% of land area),41.0001838573267
1999,AG.LND.ARBL.ZS,Arable land (% of land area),41.3678985107557
2000,AG.LND.ARBL.ZS,Arable land (% of land area),41.7356131641846
2001,AG.LND.ARBL.ZS,Arable land (% of land area),42.1033278176135
2002,AG.LND.ARBL.ZS,Arable land (% of land area),42.4710424710425
2003,AG.LND.ARBL.ZS,Arable land (% of land area),42.8387571244714
2004,AG.LND.ARBL.ZS,Arable land (% of land area),43.2064717779004
2005,AG.LND.ARBL.ZS,Arable land (% of land area),43.5741864313293
2006,AG.LND.ARBL.ZS,Arable land (% of land area),43.9419010847582
2007,AG.LND.ARBL.ZS,Arable land (% of land area),44.3096157381872
2008,AG.LND.ARBL.ZS,Arable land (% of land area),44.6773303916161
2009,AG.LND.ARBL.ZS,Arable land (% of land area),45.045045045045
2010,AG.LND.ARBL.ZS,Arable land (% of land area),45.2289023717595
2011,AG.LND.ARBL.ZS,Arable land (% of land area),45.2289023717595
2012,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2013,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2014,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2015,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2016,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2017,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2018,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2019,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2020,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2021,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2022,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
2023,AG.LND.ARBL.ZS,Arable land (% of land area),48.7221915793344
