Year,indicator,indicator_name,value
1961,AG.PRD.FOOD.XD,Food production index,27.49
1962,AG.PRD.FOOD.XD,Food production index,28.27
1963,AG.PRD.FOOD.XD,Food production index,30.36
1964,AG.PRD.FOOD.XD,Food production index,31.22
1965,AG.PRD.FOOD.XD,Food production index,31.91
1966,AG.PRD.FOOD.XD,Food production index,32.23
1967,AG.PRD.FOOD.XD,Food production index,32.51
1968,AG.PRD.FOOD.XD,Food production index,34.25
1969,AG.PRD.FOOD.XD,Food production index,33.99
1970,AG.PRD.FOOD.XD,Food production index,36.64
1971,AG.PRD.FOOD.XD,Food production index,36.45
1972,AG.PRD.FOOD.XD,Food production index,34.49
1973,AG.PRD.FOOD.XD,Food production index,35.11
1974,AG.PRD.FOOD.XD,Food production index,34.55
1975,AG.PRD.FOOD.XD,Food production index,36.4
1976,AG.PRD.FOOD.XD,Food production index,34.74
1977,AG.PRD.FOOD.XD,Food production index,34.09
1978,AG.PRD.FOOD.XD,Food production index,35.86
1979,AG.PRD.FOOD.XD,Food production index,38.33
1980,AG.PRD.FOOD.XD,Food production index,38.23
1981,AG.PRD.FOOD.XD,Food production index,38.15
1982,AG.PRD.FOOD.XD,Food production index,37.95
1983,AG.PRD.FOOD.XD,Food production index,34.83
1984,AG.PRD.FOOD.XD,Food production index,37.95
1985,AG.PRD.FOOD.XD,Food production index,40.87
1986,AG.PRD.FOOD.XD,Food production index,41.31
1987,AG.PRD.FOOD.XD,Food production index,41.62
1988,AG.PRD.FOOD.XD,Food production index,44.62
1989,AG.PRD.FOOD.XD,Food production index,47.0
1990,AG.PRD.FOOD.XD,Food production index,48.29
1991,AG.PRD.FOOD.XD,Food production index,46.98
1992,AG.PRD.FOOD.XD,Food production index,44.24
1993,AG.PRD.FOOD.XD,Food production index,52.46
1994,AG.PRD.FOOD.XD,Food production index,50.85
1995,AG.PRD.FOOD.XD,Food production index,52.37
1996,AG.PRD.FOOD.XD,Food production index,61.55
1997,AG.PRD.FOOD.XD,Food production index,61.69
1998,AG.PRD.FOOD.XD,Food production index,61.06
1999,AG.PRD.FOOD.XD,Food production index,65.19
2000,AG.PRD.FOOD.XD,Food production index,61.66
2001,AG.PRD.FOOD.XD,Food production index,65.73
2002,AG.PRD.FOOD.XD,Food production index,64.63
2003,AG.PRD.FOOD.XD,Food production index,65.22
2004,AG.PRD.FOOD.XD,Food production index,67.79
2005,AG.PRD.FOOD.XD,Food production index,73.34
2006,AG.PRD.FOOD.XD,Food production index,78.99
2007,AG.PRD.FOOD.XD,Food production index,80.87
2008,AG.PRD.FOOD.XD,Food production index,89.1
2009,AG.PRD.FOOD.XD,Food production index,96.58
2010,AG.PRD.FOOD.XD,Food production index,94.72
2011,AG.PRD.FOOD.XD,Food production index,102.45
2012,AG.PRD.FOOD.XD,Food production index,98.81
2013,AG.PRD.FOOD.XD,Food production index,92.82
2014,AG.PRD.FOOD.XD,Food production index,100.84
2015,AG.PRD.FOOD.XD,Food production index,98.5
2016,AG.PRD.FOOD.XD,Food production index,100.67
2017,AG.PRD.FOOD.XD,Food production index,105.89
2018,AG.PRD.FOOD.XD,Food production index,110.32
2019,AG.PRD.FOOD.XD,Food production index,114.05
2020,AG.PRD.FOOD.XD,Food production index,116.4
2021,AG.PRD.FOOD.XD,Food production index,121.99
2022,AG.PRD.FOOD.XD,Food production index,128.24
