Year,indicator,indicator_name,value
1961,AG.PRD.RICE.MT,Rice production (metric tons),19000.0
1962,AG.PRD.RICE.MT,Rice production (metric tons),17788.0
1963,AG.PRD.RICE.MT,Rice production (metric tons),22927.0
1964,AG.PRD.RICE.MT,Rice production (metric tons),27500.0
1965,AG.PRD.RICE.MT,Rice production (metric tons),15678.0
1966,AG.PRD.RICE.MT,Rice production (metric tons),18000.0
1967,AG.PRD.RICE.MT,Rice production (metric tons),28030.0
1968,AG.PRD.RICE.MT,Rice production (metric tons),18000.0
1969,AG.PRD.RICE.MT,Rice production (metric tons),15000.0
1970,AG.PRD.RICE.MT,Rice production (metric tons),14580.0
1971,AG.PRD.RICE.MT,Rice production (metric tons),23790.0
1972,AG.PRD.RICE.MT,Rice production (metric tons),13000.0
1973,AG.PRD.RICE.MT,Rice production (metric tons),12500.0
1974,AG.PRD.RICE.MT,Rice production (metric tons),13810.0
1975,AG.PRD.RICE.MT,Rice production (metric tons),15120.0
1976,AG.PRD.RICE.MT,Rice production (metric tons),15250.0
1977,AG.PRD.RICE.MT,Rice production (metric tons),15519.0
1978,AG.PRD.RICE.MT,Rice production (metric tons),17005.0
1979,AG.PRD.RICE.MT,Rice production (metric tons),14642.0
1980,AG.PRD.RICE.MT,Rice production (metric tons),14700.0
1981,AG.PRD.RICE.MT,Rice production (metric tons),14512.0
1982,AG.PRD.RICE.MT,Rice production (metric tons),16304.0
1983,AG.PRD.RICE.MT,Rice production (metric tons),10033.0
1984,AG.PRD.RICE.MT,Rice production (metric tons),17760.0
1985,AG.PRD.RICE.MT,Rice production (metric tons),15185.0
1986,AG.PRD.RICE.MT,Rice production (metric tons),19805.0
1987,AG.PRD.RICE.MT,Rice production (metric tons),23192.0
1988,AG.PRD.RICE.MT,Rice production (metric tons),28682.0
1989,AG.PRD.RICE.MT,Rice production (metric tons),27722.0
1990,AG.PRD.RICE.MT,Rice production (metric tons),25149.0
1991,AG.PRD.RICE.MT,Rice production (metric tons),39789.0
1992,AG.PRD.RICE.MT,Rice production (metric tons),25265.0
1993,AG.PRD.RICE.MT,Rice production (metric tons),33769.0
1994,AG.PRD.RICE.MT,Rice production (metric tons),50080.0
1995,AG.PRD.RICE.MT,Rice production (metric tons),51226.0
1996,AG.PRD.RICE.MT,Rice production (metric tons),76515.0
1997,AG.PRD.RICE.MT,Rice production (metric tons),86211.0
1998,AG.PRD.RICE.MT,Rice production (metric tons),86663.0
1999,AG.PRD.RICE.MT,Rice production (metric tons),81061.0
2000,AG.PRD.RICE.MT,Rice production (metric tons),62306.0
2001,AG.PRD.RICE.MT,Rice production (metric tons),62048.0
2002,AG.PRD.RICE.MT,Rice production (metric tons),69242.0
2003,AG.PRD.RICE.MT,Rice production (metric tons),62048.0
2004,AG.PRD.RICE.MT,Rice production (metric tons),68515.0
2005,AG.PRD.RICE.MT,Rice production (metric tons),72858.0
2006,AG.PRD.RICE.MT,Rice production (metric tons),76284.0
2007,AG.PRD.RICE.MT,Rice production (metric tons),74843.0
2008,AG.PRD.RICE.MT,Rice production (metric tons),85540.0
2009,AG.PRD.RICE.MT,Rice production (metric tons),121295.0
2010,AG.PRD.RICE.MT,Rice production (metric tons),110109.0
2011,AG.PRD.RICE.MT,Rice production (metric tons),112233.0
