Year,indicator,indicator_name,value
1961,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-6.94682998696793
1962,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),0.715476636259353
1963,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),3.17491639918836
1964,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),1.45983872364191
1965,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-2.32407248263566
1966,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),5.73775859915348
1967,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),1.74808937624435
1968,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),0.0609454260907825
1969,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),4.83856099574945
1970,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-1.62125040819991
1971,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),12.3932368535163
1972,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-0.372352688114432
1973,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),3.13437416817652
1974,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),42.0320807065715
1975,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-4.26383525378778
1976,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),14.2100141013494
1977,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),20.6574056845155
1978,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-12.3041865376947
1979,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),7.5469987413527
1980,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),10.4657265795636
1981,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),12.6474222750633
1982,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),7.08675789698097
1983,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),14.2601237152809
1984,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),1.87944529930814
1985,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),3.40143735085408
1986,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),5.59479993708582
1987,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),1.65884167925765
1988,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2.58577645265122
1989,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),0.992354543440086
1990,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2.97594444257834
1991,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2.67109282645418
1992,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),3.24543460439628
1993,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-8.19677350934612
1994,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),35.8423813711266
1995,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),11.0842103567644
1996,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),5.3879278063591
1997,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2.03603454597328
1998,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),9.55663247337893
1999,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),1.11512719389448
2000,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),10.0494567461461
2001,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),1.63405347420718
2002,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),5.02785556565668
2003,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-2.89310698803745
2004,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-1.90788897317589
2005,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),5.87615776622891
2006,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-0.508763232978126
2007,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),4.96375135329687
2008,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),9.07423258687099
2009,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),3.11724269281331
2010,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-0.0933183400535995
2011,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2.81959119100415
2012,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),1.75037449118827
2013,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),1.68329044618704
2014,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),0.479878463169484
2015,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2.2027014975329
2016,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),1.45775670689166
2017,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),-0.884659427232194
2018,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),0.452907938254626
2019,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),0.0125767477580467
2020,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),2.94317834624067
2021,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),4.56449991919597
2022,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),7.12146367434005
2023,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),3.9628497528372
2024,NY.GDP.DEFL.KD.ZG,GDP deflator (annual %),1.81499111122012
