Year,indicator,indicator_name,value
1960,PA.NUS.FCRF,Official exchange rate (USD/XAF),245.195101398359
1961,PA.NUS.FCRF,Official exchange rate (USD/XAF),245.26010162116
1962,PA.NUS.FCRF,Official exchange rate (USD/XAF),245.013850686544
1963,PA.NUS.FCRF,Official exchange rate (USD/XAF),245.016350696075
1964,PA.NUS.FCRF,Official exchange rate (USD/XAF),245.027184079042
1965,PA.NUS.FCRF,Official exchange rate (USD/XAF),245.060934207708
1966,PA.NUS.FCRF,Official exchange rate (USD/XAF),245.678436557644
1967,PA.NUS.FCRF,Official exchange rate (USD/XAF),246.000937791281
1968,PA.NUS.FCRF,Official exchange rate (USD/XAF),247.564693756951
1969,PA.NUS.FCRF,Official exchange rate (USD/XAF),259.960574351236
1970,PA.NUS.FCRF,Official exchange rate (USD/XAF),276.403137026845
1971,PA.NUS.FCRF,Official exchange rate (USD/XAF),275.356456685332
1972,PA.NUS.FCRF,Official exchange rate (USD/XAF),252.027627462649
1973,PA.NUS.FCRF,Official exchange rate (USD/XAF),222.889183053227
1974,PA.NUS.FCRF,Official exchange rate (USD/XAF),240.704667637823
1975,PA.NUS.FCRF,Official exchange rate (USD/XAF),214.312900341219
1976,PA.NUS.FCRF,Official exchange rate (USD/XAF),238.950494267059
1977,PA.NUS.FCRF,Official exchange rate (USD/XAF),245.679686566576
1978,PA.NUS.FCRF,Official exchange rate (USD/XAF),225.655860233957
1979,PA.NUS.FCRF,Official exchange rate (USD/XAF),212.721644262377
1980,PA.NUS.FCRF,Official exchange rate (USD/XAF),211.279555414705
1981,PA.NUS.FCRF,Official exchange rate (USD/XAF),271.731452550327
1982,PA.NUS.FCRF,Official exchange rate (USD/XAF),328.60625269899
1983,PA.NUS.FCRF,Official exchange rate (USD/XAF),381.066036024628
1984,PA.NUS.FCRF,Official exchange rate (USD/XAF),436.956665788008
1985,PA.NUS.FCRF,Official exchange rate (USD/XAF),449.262962711607
1986,PA.NUS.FCRF,Official exchange rate (USD/XAF),346.305903554493
1987,PA.NUS.FCRF,Official exchange rate (USD/XAF),300.536562401478
1988,PA.NUS.FCRF,Official exchange rate (USD/XAF),297.848218819378
1989,PA.NUS.FCRF,Official exchange rate (USD/XAF),319.008299487903
1990,PA.NUS.FCRF,Official exchange rate (USD/XAF),272.264787954393
1991,PA.NUS.FCRF,Official exchange rate (USD/XAF),282.10690880882
1992,PA.NUS.FCRF,Official exchange rate (USD/XAF),264.691800750579
1993,PA.NUS.FCRF,Official exchange rate (USD/XAF),283.162579500018
1994,PA.NUS.FCRF,Official exchange rate (USD/XAF),555.204695655697
1995,PA.NUS.FCRF,Official exchange rate (USD/XAF),499.14842590131
1996,PA.NUS.FCRF,Official exchange rate (USD/XAF),511.552430272516
1997,PA.NUS.FCRF,Official exchange rate (USD/XAF),583.669372353396
1998,PA.NUS.FCRF,Official exchange rate (USD/XAF),589.951774567332
1999,PA.NUS.FCRF,Official exchange rate (USD/XAF),615.473349319164
2000,PA.NUS.FCRF,Official exchange rate (USD/XAF),710.207977031367
2001,PA.NUS.FCRF,Official exchange rate (USD/XAF),732.397693260228
2002,PA.NUS.FCRF,Official exchange rate (USD/XAF),693.713226496374
2003,PA.NUS.FCRF,Official exchange rate (USD/XAF),579.897426172466
2004,PA.NUS.FCRF,Official exchange rate (USD/XAF),527.338032291576
2005,PA.NUS.FCRF,Official exchange rate (USD/XAF),527.258362649626
2006,PA.NUS.FCRF,Official exchange rate (USD/XAF),522.425624895176
2007,PA.NUS.FCRF,Official exchange rate (USD/XAF),478.633718476363
2008,PA.NUS.FCRF,Official exchange rate (USD/XAF),446.000041432788
2009,PA.NUS.FCRF,Official exchange rate (USD/XAF),470.293423341398
2010,PA.NUS.FCRF,Official exchange rate (USD/XAF),494.794262222947
2011,PA.NUS.FCRF,Official exchange rate (USD/XAF),471.248625718937
2012,PA.NUS.FCRF,Official exchange rate (USD/XAF),510.556338454251
2013,PA.NUS.FCRF,Official exchange rate (USD/XAF),493.899623852237
2014,PA.NUS.FCRF,Official exchange rate (USD/XAF),493.757329875312
2015,PA.NUS.FCRF,Official exchange rate (USD/XAF),591.21169798261
2016,PA.NUS.FCRF,Official exchange rate (USD/XAF),592.605615063022
2017,PA.NUS.FCRF,Official exchange rate (USD/XAF),580.656749587858
2018,PA.NUS.FCRF,Official exchange rate (USD/XAF),555.446458398226
2019,PA.NUS.FCRF,Official exchange rate (USD/XAF),585.911013180369
2020,PA.NUS.FCRF,Official exchange rate (USD/XAF),575.586004510945
2021,PA.NUS.FCRF,Official exchange rate (USD/XAF),554.530675033104
2022,PA.NUS.FCRF,Official exchange rate (USD/XAF),623.759700911182
2023,PA.NUS.FCRF,Official exchange rate (USD/XAF),606.569750165917
2024,PA.NUS.FCRF,Official exchange rate (USD/XAF),606.345297609063
